"id","year","emp_status","laid_off","laid_off_na_corrected","rosenberg","rosenberg_inp","dum_35_inp","dum_40_inp","dum_45_inp","time"
800002,2022,1,NA,0,60,60,0,0,0,0
800009,2014,NA,NA,0,49,49,0,0,0,0
800009,2015,NA,NA,0,NA,49,0,0,0,1
800009,2016,NA,NA,0,NA,49,0,0,0,2
800009,2017,NA,NA,0,63,63,0,0,0,3
800009,2018,NA,NA,0,NA,63,0,0,0,4
800009,2019,NA,NA,0,68,68,0,0,0,5
800009,2020,NA,NA,0,NA,68,0,0,0,6
800009,2021,NA,NA,0,58,58,0,0,0,7
800009,2022,1,NA,0,66,66,0,0,0,8
800015,2010,1,0,0,69,69,0,0,0,0
800015,2011,1,0,0,67,67,0,0,0,1
800015,2012,1,0,0,NA,67,0,0,0,2
800015,2013,1,0,0,62,62,0,0,0,3
800015,2014,1,0,0,65,65,0,0,0,4
800015,2015,1,0,0,NA,65,0,0,0,5
800015,2016,1,0,0,NA,65,0,0,0,6
800015,2017,1,0,0,64,64,0,0,0,7
800015,2018,1,0,0,NA,64,0,0,0,8
800015,2019,1,0,0,67,67,0,0,0,9
800015,2020,1,0,0,66,66,0,0,0,10
800015,2021,1,0,0,68,68,0,0,0,11
800015,2022,1,NA,0,62,62,0,0,0,12
800028,2022,NA,NA,0,70,70,0,0,0,0
800033,2008,1,0,0,51,51,0,0,0,0
800033,2009,1,0,0,41,41,0,0,1,1
800033,2010,1,0,0,NA,41,0,0,1,2
800033,2011,1,0,0,43,43,0,0,1,3
800033,2012,1,0,0,NA,43,0,0,1,4
800039,2017,1,NA,0,59,59,0,0,0,0
800042,2008,NA,NA,0,58,58,0,0,0,0
800042,2009,NA,NA,0,59,59,0,0,0,1
800042,2010,NA,NA,0,NA,59,0,0,0,2
800042,2011,NA,NA,0,63,63,0,0,0,3
800042,2012,NA,NA,0,NA,63,0,0,0,4
800042,2013,NA,NA,0,50,50,0,0,0,5
800042,2014,NA,NA,0,61,61,0,0,0,6
800042,2015,NA,NA,0,NA,61,0,0,0,7
800042,2016,NA,NA,0,NA,61,0,0,0,8
800042,2017,NA,NA,0,NA,61,0,0,0,9
800042,2018,1,0,0,63,63,0,0,0,10
800042,2019,1,NA,0,61,61,0,0,0,11
800054,2014,NA,NA,0,65,65,0,0,0,0
800054,2015,NA,NA,0,NA,65,0,0,0,1
800054,2016,NA,NA,0,NA,65,0,0,0,2
800054,2017,NA,NA,0,69,69,0,0,0,3
800054,2018,NA,NA,0,NA,69,0,0,0,4
800054,2019,NA,NA,0,65,65,0,0,0,5
800057,2008,1,0,0,69,69,0,0,0,0
800057,2009,1,0,0,69,69,0,0,0,1
800057,2010,1,0,0,NA,69,0,0,0,2
800057,2011,1,0,0,68,68,0,0,0,3
800057,2012,1,0,0,NA,68,0,0,0,4
800057,2013,1,0,0,69,69,0,0,0,5
800057,2014,1,0,0,68,68,0,0,0,6
800057,2015,1,0,0,NA,68,0,0,0,7
800057,2016,1,0,0,NA,68,0,0,0,8
800057,2017,1,0,0,69,69,0,0,0,9
800057,2018,1,0,0,NA,69,0,0,0,10
800057,2019,1,0,0,68,68,0,0,0,11
800057,2020,1,0,0,67,67,0,0,0,12
800057,2021,1,0,0,NA,67,0,0,0,13
800057,2022,1,NA,0,69,69,0,0,0,14
800058,2020,1,0,0,47,47,0,0,0,0
800058,2021,1,0,0,62,62,0,0,0,1
800058,2022,1,NA,0,56,56,0,0,0,2
800073,2018,NA,NA,0,58,58,0,0,0,0
800073,2019,NA,NA,0,63,63,0,0,0,1
800076,2008,1,0,0,43,43,0,0,1,0
800076,2009,1,NA,0,51,51,0,0,0,1
800085,2014,1,0,0,69,69,0,0,0,0
800085,2015,1,0,0,NA,69,0,0,0,1
800085,2016,1,0,0,NA,69,0,0,0,2
800085,2017,1,0,0,62,62,0,0,0,3
800085,2018,1,0,0,NA,62,0,0,0,4
800085,2019,1,0,0,NA,62,0,0,0,5
800085,2020,1,0,0,64,64,0,0,0,6
800100,2014,1,0,0,70,70,0,0,0,0
800100,2015,1,0,0,NA,70,0,0,0,1
800100,2016,1,1,1,NA,70,0,0,0,2
800100,2017,0,0,0,70,70,0,0,0,3
800100,2018,1,0,0,NA,70,0,0,0,4
800100,2019,1,0,0,70,70,0,0,0,5
800100,2020,1,0,0,64,64,0,0,0,6
800100,2021,1,0,0,70,70,0,0,0,7
800100,2022,1,NA,0,52,52,0,0,0,8
