"id","emp_status","year","laid_off"
8e+05,0,2014,NA
800001,0,2022,NA
800002,1,2022,NA
800009,NA,2014,NA
800009,NA,2015,NA
800009,NA,2016,NA
800009,NA,2017,NA
800009,NA,2018,NA
800009,NA,2019,NA
800009,NA,2020,NA
800009,NA,2021,NA
800009,1,2022,NA
800012,1,2014,0
800012,1,2015,NA
800015,1,2010,0
800015,1,2011,0
800015,1,2012,0
800015,1,2013,0
800015,1,2014,0
800015,1,2015,0
800015,1,2016,0
800015,1,2017,0
800015,1,2018,0
800015,1,2019,0
800015,1,2020,0
800015,1,2021,0
800015,1,2022,NA
800018,1,2012,0
800018,1,2013,NA
800021,NA,2014,NA
800024,NA,2008,NA
800024,1,2009,0
800024,1,2010,0
800024,1,2011,NA
800028,NA,2022,NA
800033,1,2008,0
800033,1,2009,0
800033,1,2010,0
800033,1,2011,0
800033,1,2012,0
800033,1,2013,0
800033,1,2014,0
800033,1,2015,NA
800039,1,2017,NA
800041,1,2020,0
800041,1,2021,0
800041,1,2022,NA
800042,NA,2008,NA
800042,NA,2009,NA
800042,NA,2010,NA
800042,NA,2011,NA
800042,NA,2012,NA
800042,NA,2013,NA
800042,NA,2014,NA
800042,NA,2015,NA
800042,NA,2016,NA
800042,NA,2017,NA
800042,1,2018,0
800042,1,2019,NA
800045,NA,2008,NA
800045,NA,2009,NA
800051,NA,2008,NA
800051,NA,2009,NA
800051,NA,2010,NA
800051,NA,2011,NA
800051,NA,2012,NA
800051,NA,2013,NA
800051,NA,2014,NA
800054,NA,2014,NA
800054,NA,2015,NA
800054,NA,2016,NA
800054,NA,2017,NA
800054,NA,2018,NA
800054,NA,2019,NA
800057,1,2008,0
800057,1,2009,0
800057,1,2010,0
800057,1,2011,0
800057,1,2012,0
800057,1,2013,0
800057,1,2014,0
800057,1,2015,0
800057,1,2016,0
800057,1,2017,0
800057,1,2018,0
800057,1,2019,0
800057,1,2020,0
800057,1,2021,0
800057,1,2022,NA
800058,1,2020,0
800058,1,2021,0
800058,1,2022,NA
800061,1,2008,0
800061,1,2009,0
800061,1,2010,0
800061,1,2011,0
800061,1,2012,NA
800070,1,2017,0
800070,1,2018,NA
800073,0,2017,NA
800073,NA,2018,NA
800073,NA,2019,NA
800076,1,2008,0
800076,1,2009,NA
800079,1,2008,0
800079,1,2009,0
800079,1,2010,0
800079,1,2011,NA
800082,NA,2013,NA
800082,NA,2014,NA
800082,NA,2015,NA
800082,NA,2016,NA
800082,1,2017,0
800082,1,2018,NA
800085,1,2014,0
800085,1,2015,0
800085,1,2016,0
800085,1,2017,0
800085,1,2018,0
800085,1,2019,0
800085,1,2020,0
800085,1,2021,0
800085,1,2022,NA
800088,NA,2008,NA
800088,NA,2009,NA
800088,NA,2010,NA
800088,NA,2011,NA
800088,NA,2012,NA
800091,1,2009,0
800091,1,2010,0
800091,1,2011,0
800091,1,2012,0
800091,1,2013,0
800091,1,2014,0
800091,1,2015,0
800091,1,2016,0
800091,1,2017,0
800091,1,2018,0
800091,1,2019,0
800091,1,2020,0
800091,1,2021,0
800091,1,2022,NA
800100,1,2014,0
800100,1,2015,0
800100,1,2016,1
800100,0,2017,0
800100,1,2018,0
800100,1,2019,0
800100,1,2020,0
800100,1,2021,0
800100,1,2022,NA
800103,1,2009,0
800103,1,2010,0
800103,1,2011,NA
800106,NA,2008,NA
800106,NA,2009,NA
800106,NA,2010,NA
800106,NA,2011,NA
800106,1,2012,0
800106,1,2013,0
800106,1,2014,0
800106,1,2015,0
800106,1,2016,0
800106,1,2017,0
