"id","year","rosenberg","rosenberg_inp","dum_35_inp","dum_40_inp","dum_45_inp"
800002,2022,60,60,0,0,0
800009,2014,49,49,0,0,0
800009,2015,NA,49,0,0,0
800009,2016,NA,49,0,0,0
800009,2017,63,63,0,0,0
800009,2018,NA,63,0,0,0
800009,2019,68,68,0,0,0
800009,2020,NA,68,0,0,0
800009,2021,58,58,0,0,0
800009,2022,66,66,0,0,0
800015,2010,69,69,0,0,0
800015,2011,67,67,0,0,0
800015,2012,NA,67,0,0,0
800015,2013,62,62,0,0,0
800015,2014,65,65,0,0,0
800015,2015,NA,65,0,0,0
800015,2016,NA,65,0,0,0
800015,2017,64,64,0,0,0
800015,2018,NA,64,0,0,0
800015,2019,67,67,0,0,0
800015,2020,66,66,0,0,0
800015,2021,68,68,0,0,0
800015,2022,62,62,0,0,0
800028,2022,70,70,0,0,0
800033,2008,51,51,0,0,0
800033,2009,41,41,0,0,1
800033,2010,NA,41,0,0,1
800033,2011,43,43,0,0,1
800033,2012,NA,43,0,0,1
800039,2017,59,59,0,0,0
800042,2008,58,58,0,0,0
800042,2009,59,59,0,0,0
800042,2010,NA,59,0,0,0
800042,2011,63,63,0,0,0
800042,2012,NA,63,0,0,0
800042,2013,50,50,0,0,0
800042,2014,61,61,0,0,0
800042,2015,NA,61,0,0,0
800042,2016,NA,61,0,0,0
800042,2017,NA,61,0,0,0
800042,2018,63,63,0,0,0
800042,2019,61,61,0,0,0
800054,2014,65,65,0,0,0
800054,2015,NA,65,0,0,0
800054,2016,NA,65,0,0,0
800054,2017,69,69,0,0,0
800054,2018,NA,69,0,0,0
800054,2019,65,65,0,0,0
800057,2008,69,69,0,0,0
800057,2009,69,69,0,0,0
800057,2010,NA,69,0,0,0
800057,2011,68,68,0,0,0
800057,2012,NA,68,0,0,0
800057,2013,69,69,0,0,0
800057,2014,68,68,0,0,0
800057,2015,NA,68,0,0,0
800057,2016,NA,68,0,0,0
800057,2017,69,69,0,0,0
800057,2018,NA,69,0,0,0
800057,2019,68,68,0,0,0
800057,2020,67,67,0,0,0
800057,2021,NA,67,0,0,0
800057,2022,69,69,0,0,0
800058,2020,47,47,0,0,0
800058,2021,62,62,0,0,0
800058,2022,56,56,0,0,0
800073,2018,58,58,0,0,0
800073,2019,63,63,0,0,0
800076,2008,43,43,0,0,1
800076,2009,51,51,0,0,0
800085,2014,69,69,0,0,0
800085,2015,NA,69,0,0,0
800085,2016,NA,69,0,0,0
800085,2017,62,62,0,0,0
800085,2018,NA,62,0,0,0
800085,2019,NA,62,0,0,0
800085,2020,64,64,0,0,0
800100,2014,70,70,0,0,0
800100,2015,NA,70,0,0,0
800100,2016,NA,70,0,0,0
800100,2017,70,70,0,0,0
800100,2018,NA,70,0,0,0
800100,2019,70,70,0,0,0
800100,2020,64,64,0,0,0
800100,2021,70,70,0,0,0
800100,2022,52,52,0,0,0
800109,2012,63,63,0,0,0
800115,2018,59,59,0,0,0
800119,2008,61,61,0,0,0
800119,2009,63,63,0,0,0
800119,2010,NA,63,0,0,0
800119,2011,55,55,0,0,0
800119,2012,NA,55,0,0,0
800119,2013,65,65,0,0,0
800119,2014,61,61,0,0,0
800119,2015,NA,61,0,0,0
800119,2016,NA,61,0,0,0
800119,2017,NA,61,0,0,0
800119,2018,NA,61,0,0,0
800119,2019,57,57,0,0,0
800119,2020,63,63,0,0,0
800119,2021,37,37,0,1,1
800119,2022,39,39,0,1,1
800125,2008,46,46,0,0,0
800125,2009,42,42,0,0,1
800125,2010,NA,42,0,0,1
800127,2021,54,54,0,0,0
800127,2022,27,27,1,1,1
800128,2017,42,42,0,0,1
800128,2018,NA,42,0,0,1
800128,2019,NA,42,0,0,1
800128,2020,45,45,0,0,1
800128,2021,NA,45,0,0,1
800128,2022,39,39,0,1,1
800131,2010,52,52,0,0,0
800131,2011,68,68,0,0,0
800131,2012,NA,68,0,0,0
800131,2013,63,63,0,0,0
800131,2014,70,70,0,0,0
800131,2015,NA,70,0,0,0
800131,2016,NA,70,0,0,0
800131,2017,70,70,0,0,0
800131,2018,NA,70,0,0,0
800131,2019,63,63,0,0,0
800131,2020,64,64,0,0,0
800131,2021,67,67,0,0,0
800131,2022,67,67,0,0,0
800134,2008,61,61,0,0,0
800136,2022,55,55,0,0,0
800156,2022,70,70,0,0,0
800158,2008,54,54,0,0,0
800158,2009,NA,54,0,0,0
800158,2010,NA,54,0,0,0
